,BEARING,mean_iwp,std_iwp,freq_iwp,mean_ted,std_ted,freq_ted,mean_species,std_species,freq_species,in_out,island,species,population_status,hum_pop,distant_hum_pop,group
99,260,12022.37552,2296.676938,52762,1.269747526,1.404036118,12837,15.76045448,23.84432862,496269,0,AGR,MACROALGAE,0,0,0,8
100,270,12930.96933,2456.206358,52621,1.108570985,1.282979199,13988,17.32938873,26.08216615,495891,0,AGR,MACROALGAE,0,0,0,8
101,280,14591.63705,4010.444637,54353,1.067835215,1.241646727,16430,18.69737449,27.96875494,509166,0,AGR,MACROALGAE,0,0,0,8
102,290,18083.12454,7395.342561,56892,0.970436393,1.19062383,22393,20.0146576,28.58109499,538551,0,AGR,MACROALGAE,0,0,0,8
103,300,25101.31709,12692.79291,60806,0.772352669,1.090486298,29786,20.59555975,28.21125553,583164,0,AGR,MACROALGAE,0,0,0,8
104,310,36519.38545,21176.68436,67437,0.575910712,0.956327306,35849,21.71764,27.61971985,613098,0,AGR,MACROALGAE,0,0,0,8
105,320,48551.80204,28702.85347,74733,0.418543627,0.831144616,39794,23.09177579,26.62786901,656865,0,AGR,MACROALGAE,0,0,0,8
106,330,60950.14842,35627.96901,79415,0.352989783,0.806667407,37970,24.71269387,25.36559405,677205,0,AGR,MACROALGAE,0,0,0,8
107,340,72405.93147,40852.67246,82556,0.277937046,0.592403307,33259,25.71998699,24.0458169,631584,0,AGR,MACROALGAE,0,0,0,8
108,350,83646.67176,41030.10357,83220,0.254617637,0.450867307,31626,27.31364118,22.43238615,630576,1,AGR,MACROALGAE,0,0,0,8
109,0,84984.13962,14486.13651,1095938,0.005007474,0.016197817,1311910,6.360731789,6.590336599,1665054,0,HAW,CCA,1,185079,96224,9
110,10,88094.33769,11489.23283,934519,0.005506743,0.016396052,1028733,6.791708052,6.923811718,1332477,0,HAW,CCA,1,185079,96224,9
111,20,89217.41123,10827.73658,887035,0.007278631,0.021576404,823235,6.930608508,7.095548451,1253700,0,HAW,CCA,1,185079,96224,9
112,30,88142.61526,12198.21578,911607,0.011264449,0.033565775,800638,7.610516717,8.085624311,1147662,0,HAW,CCA,1,185079,96224,9
113,40,86308.57235,12444.16754,947191,0.018463104,0.053515481,765657,9.263975561,9.076238528,1278648,0,HAW,CCA,1,185079,96224,9
114,50,84976.67635,12303.72685,1000398,0.045847732,0.10947991,649179,10.16773392,9.212887028,1174491,0,HAW,CCA,1,185079,96224,9
115,60,82425.7223,13105.46915,1224917,0.150532524,0.306494874,624877,10.74477194,9.453886414,1256139,0,HAW,CCA,1,185079,96224,9
116,70,77502.8774,13631.23767,1376308,0.316155708,0.540588867,585498,11.58152101,9.949344592,1508022,0,HAW,CCA,1,185079,96224,9
117,80,72057.4232,12982.99227,1333651,0.489851093,0.706487565,543441,11.1231739,9.030304581,1461168,0,HAW,CCA,1,185079,96224,9
118,90,65042.54663,13917.92831,1336223,0.633655341,0.85614663,507980,13.07656386,10.17892365,1485279,0,HAW,CCA,1,185079,96224,9
119,100,58028.55622,16575.14938,1392269,0.74837,1.005972244,470532,14.09392073,11.08538661,1494720,0,HAW,CCA,1,185079,96224,9
